platform,number_of_qubits,memory_usage
qiskit,2,25.70092010498047
qiskit,3,0.16128826141357422
qiskit,4,0.15590381622314453
qiskit,5,0.155181884765625
qiskit,6,0.15194320678710938
qiskit,7,0.1517782211303711
qiskit,8,0.15235233306884766
qiskit,9,0.1527242660522461
qiskit,10,0.152557373046875
pennylane,2,0.11583900451660156
pennylane,3,0.0913848876953125
pennylane,4,0.28681373596191406
pennylane,5,0.5609035491943359
pennylane,6,0.6570930480957031
pennylane,7,1.533447265625
pennylane,8,6.037957191467285
pennylane,9,24.044236183166504
pennylane,10,96.05595016479492
cirq,2,0.13931846618652344
cirq,3,0.038979530334472656
cirq,4,0.05252265930175781
cirq,5,0.1256103515625
cirq,6,0.4181365966796875
cirq,7,1.5095558166503906
cirq,8,5.930554389953613
cirq,9,23.561118125915527
cirq,10,94.07908248901367
qsimcirq,2,0.1510782241821289
qsimcirq,3,0.036884307861328125
qsimcirq,4,0.04996299743652344
qsimcirq,5,0.12335968017578125
qsimcirq,6,0.4145488739013672
qsimcirq,7,1.5043611526489258
qsimcirq,8,5.921625137329102
qsimcirq,9,23.549604415893555
qsimcirq,10,94.05838108062744
qulacs,2,0.0025796890258789062
qulacs,3,0.0024251937866210938
qulacs,4,0.005354881286621094
qulacs,5,0.017073631286621094
qulacs,6,0.0639486312866211
qulacs,7,0.2514486312866211
qulacs,8,1.001448631286621
qulacs,9,4.003726959228516
qulacs,10,16.003676414489746
qibojit,2,0.031152725219726562
qibojit,3,0.04019355773925781
qibojit,4,0.06699180603027344
qibojit,5,0.14611053466796875
qibojit,6,0.43773460388183594
qibojit,7,1.5762195587158203
qibojit,8,6.08505916595459
qibojit,9,24.09995460510254
qibojit,10,96.10801315307617
