platform,number_of_qubits,memory_usage
qiskit,2,0.04916095733642578
qiskit,3,0.037647247314453125
qiskit,4,0.03668498992919922
qiskit,5,0.039879798889160156
qiskit,6,0.04106426239013672
qiskit,7,0.05532360076904297
qiskit,8,0.04074382781982422
qiskit,9,0.042835235595703125
qiskit,10,0.041645050048828125
pennylane,2,0.018401145935058594
pennylane,3,0.028280258178710938
pennylane,4,0.02727794647216797
pennylane,5,0.03144073486328125
pennylane,6,0.03590679168701172
pennylane,7,0.036950111389160156
pennylane,8,0.0417022705078125
pennylane,9,0.04627418518066406
pennylane,10,0.05188751220703125
cirq,2,0.027884483337402344
cirq,3,0.0439300537109375
cirq,4,0.043315887451171875
cirq,5,0.03680229187011719
cirq,6,0.05232810974121094
cirq,7,0.07578086853027344
cirq,8,0.08744239807128906
cirq,9,0.0686025619506836
cirq,10,0.07288837432861328
qsimcirq,2,0.02702045440673828
qsimcirq,3,0.043121337890625
qsimcirq,4,0.04547882080078125
qsimcirq,5,0.036960601806640625
qsimcirq,6,0.05179119110107422
qsimcirq,7,0.11536693572998047
qsimcirq,8,0.08264350891113281
qsimcirq,9,0.06785774230957031
qsimcirq,10,0.06951332092285156
qulacs,2,0.0006628036499023438
qulacs,3,0.0006322860717773438
qulacs,4,0.0006017684936523438
qulacs,5,0.0005712509155273438
qulacs,6,0.0005254745483398438
qulacs,7,0.0006313323974609375
qulacs,8,0.00046443939208984375
qulacs,9,0.00043392181396484375
qulacs,10,0.00038814544677734375
qibojit,2,0.04887866973876953
qibojit,3,0.07406902313232422
qibojit,4,0.10060405731201172
qibojit,5,0.125274658203125
qibojit,6,0.14924907684326172
qibojit,7,0.17554378509521484
qibojit,8,0.19820880889892578
qibojit,9,0.22047710418701172
qibojit,10,0.24835491180419922
