platform,number_of_qubits,time_execution
qiskit,2,7.0395073890686035
qiskit,3,0.10458970069885254
qiskit,4,0.09741401672363281
qiskit,5,0.10238409042358398
qiskit,6,0.09740853309631348
qiskit,7,0.09920883178710938
qiskit,8,0.10361075401306152
qiskit,9,0.10779809951782227
qiskit,10,0.14006876945495605
pennylane,2,0.031645774841308594
pennylane,3,0.02092576026916504
pennylane,4,0.03176403045654297
pennylane,5,0.0397038459777832
pennylane,6,0.059051513671875
pennylane,7,0.1144261360168457
pennylane,8,0.41169238090515137
pennylane,9,1.6212785243988037
pennylane,10,6.289832592010498
cirq,2,0.028988361358642578
cirq,3,0.03198575973510742
cirq,4,0.04379463195800781
cirq,5,0.05442643165588379
cirq,6,0.06792378425598145
cirq,7,0.08452653884887695
cirq,8,0.1500990390777588
cirq,9,0.41565608978271484
cirq,10,1.3262789249420166
qsimcirq,2,0.025971651077270508
qsimcirq,3,0.027744054794311523
qsimcirq,4,0.0362401008605957
qsimcirq,5,0.04891037940979004
qsimcirq,6,0.06692957878112793
qsimcirq,7,0.08215117454528809
qsimcirq,8,0.13919949531555176
qsimcirq,9,0.4155745506286621
qsimcirq,10,1.2219233512878418
qulacs,2,0.0015358924865722656
qulacs,3,0.0
qulacs,4,0.0007033348083496094
qulacs,5,0.0003314018249511719
qulacs,6,0.003027200698852539
qulacs,7,0.02099466323852539
qulacs,8,0.06890082359313965
qulacs,9,0.32358527183532715
qulacs,10,0.9808802604675293
qibojit,2,0.07241082191467285
qibojit,3,0.08334803581237793
qibojit,4,0.10593628883361816
qibojit,5,0.13808655738830566
qibojit,6,0.16434359550476074
qibojit,7,0.2223672866821289
qibojit,8,0.2977104187011719
qibojit,9,0.5543925762176514
qibojit,10,2.1955857276916504
