platform,number_of_qubits,time_execution
qiskit,2,0.1228182315826416
qiskit,3,0.11037135124206543
qiskit,4,0.12209892272949219
qiskit,5,0.10681796073913574
qiskit,6,0.11730813980102539
qiskit,7,0.1254119873046875
qiskit,8,0.12881016731262207
qiskit,9,0.1568164825439453
qiskit,10,0.22224736213684082
pennylane,2,0.05477309226989746
pennylane,3,0.0709083080291748
pennylane,4,0.10242795944213867
pennylane,5,0.13391327857971191
pennylane,6,0.2229137420654297
pennylane,7,0.474639892578125
pennylane,8,1.5015168190002441
pennylane,9,5.754554271697998
pennylane,10,23.862072229385376
cirq,2,0.07766008377075195
cirq,3,0.12612271308898926
cirq,4,0.17773127555847168
cirq,5,0.26790666580200195
cirq,6,0.29642629623413086
cirq,7,0.5522665977478027
cirq,8,0.7320232391357422
cirq,9,2.1276466846466064
cirq,10,7.706669569015503
qsimcirq,2,0.0785679817199707
qsimcirq,3,0.1221766471862793
qsimcirq,4,0.17777681350708008
qsimcirq,5,0.2236175537109375
qsimcirq,6,0.28927135467529297
qsimcirq,7,0.5259249210357666
qsimcirq,8,0.7097630500793457
qsimcirq,9,2.05845308303833
qsimcirq,10,7.554699659347534
qulacs,2,0.0
qulacs,3,0.0012784004211425781
qulacs,4,0.0
qulacs,5,0.005466938018798828
qulacs,6,0.011699676513671875
qulacs,7,0.09615850448608398
qulacs,8,0.2987642288208008
qulacs,9,1.4488039016723633
qulacs,10,4.139746427536011
qibojit,2,0.2476820945739746
qibojit,3,0.429049015045166
qibojit,4,0.5283095836639404
qibojit,5,0.6798934936523438
qibojit,6,0.8255856037139893
qibojit,7,1.029886245727539
qibojit,8,1.6592352390289307
qibojit,9,2.7034683227539062
qibojit,10,9.273911714553833
