platform,number_of_qubits,time_execution
qiskit,2,1.0914890766143799
qiskit,3,0.7785289287567139
qiskit,4,0.818077564239502
qiskit,5,0.7950067520141602
qiskit,6,0.8432066440582275
qiskit,7,1.407822847366333
qiskit,8,3.462059259414673
qiskit,9,11.754518032073975
qiskit,10,39.59700536727905
pennylane,2,0.2685246467590332
pennylane,3,0.3715353012084961
pennylane,4,0.5014941692352295
pennylane,5,0.674968957901001
pennylane,6,1.0909717082977295
pennylane,7,2.358893394470215
pennylane,8,7.47806453704834
pennylane,9,28.219456911087036
pennylane,10,116.21616673469543
cirq,2,0.42357873916625977
cirq,3,0.6397175788879395
cirq,4,0.899303674697876
cirq,5,1.2332749366760254
cirq,6,1.497699499130249
cirq,7,2.2827250957489014
cirq,8,3.83573579788208
cirq,9,11.018325328826904
cirq,10,39.58027672767639
qsimcirq,2,0.3894984722137451
qsimcirq,3,0.6285533905029297
qsimcirq,4,0.8684179782867432
qsimcirq,5,1.1863133907318115
qsimcirq,6,1.488373041152954
qsimcirq,7,2.1539032459259033
qsimcirq,8,3.631878614425659
qsimcirq,9,10.596925497055054
qsimcirq,10,38.798179388046265
qulacs,2,0.0043981075286865234
qulacs,3,0.0070421695709228516
qulacs,4,0.009292840957641602
qulacs,5,0.0224609375
qulacs,6,0.10381317138671875
qulacs,7,0.426525354385376
qulacs,8,1.5121939182281494
qulacs,9,7.345667839050293
qulacs,10,21.61540412902832
qibojit,2,1.2796154022216797
qibojit,3,2.075860023498535
qibojit,4,2.6716113090515137
qibojit,5,3.3643016815185547
qibojit,6,4.135015487670898
qibojit,7,5.0293262004852295
qibojit,8,7.792593240737915
qibojit,9,14.857322454452515
qibojit,10,44.51911687850952
